company_age_months,monthly_burn_usd,runway_months,team_size,founder_exits,customer_growth_pct,support_tickets_last_30_days,annual_revenue_usd,market_segment,growth_stage,remote_friendly,investor_tier,churned
38.0,"$88,392",15, 22.0 ,2,-3.82, 15.0 ,"$1,190,215",ai,SEED,FALSE,angel,1
97.0," USD 90,093.56 ", 14.26 ,41.0,0.0,10.6%,14,"1,360,755", fintech , pre-seed ,no,Tier-1-Vc,0
70,n/a, 5.98 ,,1, -35 % ,23.0," USD 1,026,006.63 ",AI,PRE-SEED,yes,unknown,0
66,"$133,919",19, 21.0 , 0.0 , -10 % ,13,"$2,093,589", ecommerce ,unknown,no,unknown,1
23,"68,001", 12.53 ,33,0.0,10.66,17.0,"$1,367,558",fintech, series-a ,0,,0
57.0,"$36,890", 7.45 ,30.0,0,25.22,17.0,"829,699",ECOMMERCE, series-b ,Yes,none,1
,"61,359", 18.94 , 40.0 ,0, -25 % ,,"$516,776",Fintech,Series-B,onsite,ANGEL,0
5.0,"$82,411", 16.13 ,18, 0.0 , 3 % ,14.0,"$1,054,405",Ai,SEED,yes,Tier-1-Vc,0
91,"65,438",7,27,0.0, 28 % ,17,n/a,SAAS,Pre-Seed,remote, angel ,1
 60.0 ,"$53,218",22, 25.0 ,0,-16.1%,20.0,n/a,ai,SERIES-A,FALSE,Tier-2-Vc,0
87.0,"$84,043",16.29,36.0, 1.0 ,14.1%,19,"934,637",ECOMMERCE, pre-seed ,No,Tier-1-Vc,0
80," USD 55,427.06 ", 12.95 , 12.0 ,0,11.19,13.0,unknown,Ecommerce,series-b,yes,Angel,0
53,"$51,770",n/a,40.0, 1.0 ,40.9%,n/a,"$837,331",ecommerce, series-a ,FALSE, tier-1-vc ,0
39,"86,795",14,33.0, 0.0 ,5.9%,14.0," USD 1,345,959.02 ",ecommerce,seed,Yes,angel,1
 76.0 ,"58,624", 12.86 ,8, 0.0 , 7 % , 20.0 ," USD 1,311,475.08 ", saas ,Pre-Seed,Yes,Tier-2-Vc,0
19.0,"83,638",9.7, 43.0 ,0.0, 25 % ,16.0," USD 1,332,844.80 ", healthtech , pre-seed ,yes,ANGEL,0
71,"$84,988",16,57, 0.0 ,-13.87,18,"$1,495,887",Ai,SEED,No,tier-2-vc,0
14.0,"$39,078",15.38,40.0,0.0, 6 % ,15.0,"$507,889",FINTECH,seed,yes,none,0
79.0,"56,124",13.07, 46.0 ,0.0, 2 % ,17.0,"$590,311",healthtech,series-a,TRUE,none,1
76,"161,261",9.05,27,2.0,7.5%,25.0,n/a, healthtech ,SERIES-A,FALSE,angel,0
unknown,"38,594", 13.65 ,3,0, 25 % ,19," USD 955,124.56 ", ecommerce , seed ,,angel,0
91.0,"$22,830", 12.65 ,2.0, 0.0 ,20.0%, 20.0 ,"$423,091", fintech , pre-seed ,1,tier-2-vc,0
51.0," USD 26,264.81 ",6, 30.0 ,2,,15,"449,079",FINTECH,seed,1, none ,0
95.0,"$74,311",, 18.0 ,0,12.46,,"898,751",FINTECH,PRE-SEED,onsite,none,0
7,"74,385", 15.83 ,13.0,0,,15," USD 1,461,286.13 ",, series-a ,No,Angel,0
 23.0 ,"68,550", 1.0 ,25,2, -5 % , 21.0 ," USD 724,517.13 ",HEALTHTECH, seed ,0,Angel,1
60,"$142,601",14,35.0,0,12.61,,"1,387,759",Healthtech,Series-A,, angel ,0
 25.0 ,"$16,814", 10.61 ,6.0,0.0,6.5%,n/a,"$231,429",saas,seed,TRUE,NONE,0
 41.0 ,"90,923",19.54, 20.0 ,2, 9 % , 13.0 ,"$2,165,591",saas,seed,onsite,tier-2-vc,0
80.0," USD 172,610.18 ",11,47,0.0, -19 % , 24.0 ,n/a,healthtech,series-a,Yes, tier-2-vc ,0
19,"$39,329", 16.3 , 11.0 , 1.0 ,35.39, 17.0 ,"$558,279", fintech ,series-a,yes,TIER-2-VC,1
 82.0 ,"$59,344", 11.02 ,,1,-3.94, 27.0 ,"$789,465", ai ,series-a,remote,angel,0
 15.0 ,"$48,335", 13.57 ,n/a, 1.0 , 28 % ,23.0,"$456,212",FINTECH,SEED,remote,TIER-1-VC,0
23.0,"$44,717",16.68, 34.0 ,0,-1.18,27,"729,430",Ai,series-a,TRUE,tier-2-vc,1
71.0,"61,118",11,41, 0.0 ,-1.26,23.0,"$1,017,490",HEALTHTECH,pre-seed,No,Tier-2-Vc,1
95.0,"160,350",17.98,36.0,0,31.8%,16.0," USD 3,072,029.68 ", ecommerce ,Seed,TRUE, angel ,0
22," USD 200,900.02 ",8, 39.0 ,0.0, 28 % , 18.0 ,"3,946,245",Ai, series-a ,no,Angel,0
38,"60,793", 14.47 , 10.0 ,1.0, 14 % , 28.0 ,"$924,684",HEALTHTECH,,TRUE,Angel,1
111," USD 208,518.52 ", 17.61 , 42.0 ,0.0,23.7,24,"3,800,065",AI,unknown,no, angel ,0
," USD 74,575.48 ", 16.3 , 14.0 , 0.0 ,4.81,21," USD 984,205.78 ",FINTECH,seed,Yes,tier-2-vc,0
70,"191,862",23,, 0.0 ,9.85, 21.0 ,"3,481,939",Fintech,Pre-Seed,onsite, angel ,0
,"69,472",9,30,2,-1.9%,16,"970,605",,PRE-SEED,TRUE,NONE,1
 43.0 ," USD 78,596.45 ", 6.1 , 33.0 , 1.0 ,26.27, 14.0 ," USD 1,401,990.42 ",ecommerce,series-a,No, none ,0
74.0," USD 89,412.07 ",8,31.0,1.0, -2 % ,21,"$1,565,963",ECOMMERCE, series-a ,Yes,NONE,1
 72.0 ,"420,151",16,14.0,0.0,36.73,20," USD 6,838,048.16 ",SAAS, seed ,TRUE,angel,0
 37.0 ,"$116,799",15, 7.0 ,0.0,4.3%,17.0,"$2,239,984",Saas,PRE-SEED,No, none ,1
5.0," USD 49,563.23 ", 13.51 , 38.0 ,2, 10 % ,18.0,"$481,675",ECOMMERCE,PRE-SEED,No,TIER-2-VC,1
20.0,"$124,611",7.39,29,0,23.66, 19.0 ,"1,462,970",,Pre-Seed,FALSE, angel ,0
115.0,"$59,934",16.83, 42.0 , 2.0 , 10 % , 16.0 ,"$894,195", fintech , series-a ,0, tier-2-vc ,0
 51.0 ," USD 55,861.87 ", 6.88 ,25,1,4.6%, 16.0 ,"571,296", saas ,pre-seed,no,Tier-1-Vc,0
 59.0 ,"120,539", 18.79 ,6,0.0,9.46, 23.0 ,"1,732,456", ecommerce ,pre-seed,remote,TIER-1-VC,0
57,"$74,392",27.29, 40.0 ,0,26.09,n/a," USD 1,078,786.88 ",Ecommerce,PRE-SEED,,tier-2-vc,0
94.0,"85,239", 14.83 ,21,2.0,-1.93,23,"1,810,373", ecommerce ,Seed,1,Angel,0
10.0,"$73,695",16,31.0,0,7.73,17,"$1,221,138",Fintech, series-a ,,Tier-2-Vc,0
12,"88,003",10.54,17,0,10.19,17," USD 1,770,409.89 ",ecommerce,Series-A,,Tier-1-Vc,0
35,"92,386", 3.95 , 49.0 ,0.0,25.56,14.0,unknown, fintech ,SEED,remote,ANGEL,0
59.0,"25,202",9.99, 14.0 ,0.0,unknown,20," USD 349,228.80 ", ecommerce ,Series-B,remote,none,0
81.0,"105,516",7.54,21.0,0, 43 % , 19.0 ," USD 1,744,687.97 ",ecommerce,Seed,yes, tier-2-vc ,0
60,"$42,612", 5.76 ,28,0.0,7.18,15.0,"$806,120",saas,Series-A,Yes,NONE,0
,"$33,082",22, 11.0 , 0.0 ,5.7%, 24.0 ,"$687,226", fintech , series-a ,,tier-2-vc,0
 112.0 ,"$70,818",14,31,0.0, 7 % ,14.0,"$1,095,614",Ai,pre-seed,Yes, none ,0
21.0,,15,49.0,1.0,-13.7%,13,"$720,685",fintech, series-a ,onsite,None,1
69.0," USD 49,939.70 ",11,19.0,1, -9 % ,17.0," USD 455,889.11 ",healthtech, seed ,TRUE,Tier-2-Vc,0
66,"115,505", 12.14 ,,0.0,0.45, 18.0 ,"$1,697,268",SAAS, series-a ,1,Tier-2-Vc,0
58.0,"34,955", 17.82 , 2.0 , 0.0 , 30 % ,18,"232,392",Healthtech, pre-seed ,Yes, tier-2-vc ,0
97,"58,465",,n/a, 0.0 ,9.4,19.0,"1,355,240", ecommerce , seed ,Yes,Tier-2-Vc,0
34.0,"53,014", 15.65 ,22, 1.0 ,1.28, 19.0 ,,Ecommerce,SERIES-B,Yes,Tier-1-Vc,0
114,unknown,12, 15.0 ,0.0,32.1%,13," USD 959,244.32 ",healthtech,PRE-SEED,yes,angel,0
41,"85,253",11, 41.0 ,0,37.9%, 11.0 ,"$985,642",SAAS,pre-seed,,,0
66.0,"42,010", 5.97 ,,0, 33 % ,10.0,"844,922",ECOMMERCE,Pre-Seed,No,Angel,1
n/a," USD 108,918.53 ",3,24,0,-5.4%,23,"1,257,514",healthtech,SEED,1,None,1
102,"$75,709", 11.69 ,21.0,1,1.09, 18.0 ,"$902,987",FINTECH,Series-A,1,TIER-1-VC,0
54,"25,834", 13.28 , 2.0 ,0.0,42.65,26.0,"$334,188",Ecommerce, series-a ,remote,Angel,1
36,"$24,904",6.57, 10.0 , 1.0 , 14 % , 13.0 ,"$409,825",ECOMMERCE,series-b,yes,Tier-1-Vc,0
5,, 12.83 , 39.0 , 1.0 ,5.2%, 21.0 ,"1,342,556",saas, seed ,yes,,1
45.0,"64,762", 13.27 ,2,0.0, 23 % ,23," USD 1,345,142.86 ", fintech ,Seed,Yes,,0
99,"69,087",2.22, 15.0 ,1, 28 % ,n/a,"$1,394,164", fintech , pre-seed ,Yes,NONE,0
4.0,"$72,014", 8.42 ,20,0.0,-0.29,21,"1,152,440",HEALTHTECH, pre-seed ,1, tier-2-vc ,0
107.0,"$82,790",15.04,50, 2.0 ,13.95, 26.0 ,"1,662,588",saas,unknown,0,tier-1-vc,0
," USD 123,156.02 ",15, 37.0 ,0,unknown, 16.0 ," USD 1,639,945.75 ", ai ,unknown,yes, angel ,0
19.0,,7.23,18, 0.0 , -11 % , 21.0 ,"345,972",ai,PRE-SEED,Yes, none ,1
38," USD 38,384.75 ", 13.79 , 44.0 ,1, 10 % , 19.0 ,"511,111",fintech,series-b,yes, angel ,0
67," USD 40,081.57 ",18.11, 16.0 , 0.0 , -10 % ,16.0," USD 512,040.36 ",ECOMMERCE,seed,Yes,angel,0
 39.0 ," USD 85,725.38 ",17,40.0,1,-7.7,21.0,"1,154,897",FINTECH,pre-seed,FALSE,tier-2-vc,0
 15.0 ," USD 145,033.65 ", 12.52 , 7.0 ,0.0, -0 % ,17.0," USD 1,763,971.92 ",fintech, series-a ,1,tier-2-vc,0
80," USD 57,685.63 ", 10.66 ,41.0,0,18.59,23," USD 816,572.44 ",AI,SEED,yes,NONE,0
81.0,"$18,473",10,20.0,0.0,4.2,unknown,"$341,382",AI,,0,angel,0
16,"$28,647", 15.34 ,12.0, 1.0 ,-1.7%, 16.0 ,,Ecommerce,SERIES-A,Yes,Tier-2-Vc,1
35.0,"46,251",13.98, 23.0 ,0,10.93,,"$420,816",HEALTHTECH,pre-seed,1,angel,1
31,"53,812", 16.15 ,30.0,0.0,n/a,16,"583,808",Healthtech,pre-seed,, angel ,0
80.0,,14, 19.0 ,0.0,17.72, 19.0 ,,Ai,Pre-Seed,FALSE,TIER-2-VC,0
88.0,,,34.0, 0.0 ,30.36,14.0,n/a,AI, series-a ,TRUE,angel,0
88,"61,608", 13.47 , 18.0 , 0.0 ,8.6%,11.0,"$935,215",,seed,no,none,0
 112.0 ," USD 130,240.34 ",n/a,35.0, 1.0 , 6 % ,18.0," USD 1,706,612.50 ",SAAS,series-a,1,angel,0
92,,17.35, 32.0 ,0.0, 17 % ,24,"951,316",ecommerce,SEED,,tier-2-vc,0
 40.0 ,"$45,512",8.98,25,1, -27 % ,14.0,"$902,295",SAAS,Seed,Yes, angel ,1
15," USD 95,166.34 ", 3.96 , 20.0 ,1.0,19.66, 16.0 ,"1,515,520", saas , pre-seed ,0,Tier-2-Vc,1
 74.0 ," USD 31,426.19 ", 20.72 , 28.0 ,0.0, 66 % ,19,"$400,216", saas ,Pre-Seed,remote, angel ,0
110.0," USD 90,610.96 ", 14.28 , 34.0 , 1.0 , 8 % ,14.0,"$1,547,736",Saas,seed,remote, angel ,0
117,"$77,374",4.43,55.0,0.0, 8 % , 20.0 ,"$1,165,786", saas ,Seed,TRUE,tier-2-vc,0
n/a,"$67,434",9,39.0,0,,17.0,, healthtech ,series-b,0,Angel,0
30," USD 175,176.95 ", 16.86 , 40.0 ,1,39.6%, 20.0 ," USD 2,443,788.31 ",AI,PRE-SEED,FALSE,Angel,0
7.0," USD 51,936.96 ",11.6,69.0,0.0,27.55,18," USD 1,023,154.58 ",Healthtech,Series-A,onsite, none ,0
19,"$227,104", 10.44 ,33,1.0,-28.8, 24.0 ,"$3,860,662",ECOMMERCE,PRE-SEED,No, tier-2-vc ,1
 67.0 ,"$64,603", 20.0 ,33, 0.0 ,20.1%,," USD 1,301,281.08 ",HEALTHTECH,SERIES-A,TRUE, angel ,0
66.0,"$36,230", 7.76 ,36,0, 56 % ,17.0,"$773,339",HEALTHTECH, pre-seed ,onsite,Tier-2-Vc,0
46.0,"$75,998", 9.01 ,12,0.0,21.2,21," USD 1,355,485.63 ",FINTECH,Series-A,remote,Angel,0
39.0,"40,460",14.06,20.0, 0.0 ,-10.8%, 26.0 ,"565,390",, pre-seed ,No,Angel,1
 100.0 ,"$48,365", 14.95 ,19.0, 0.0 ,15.07,17.0," USD 975,104.04 ",FINTECH,pre-seed,No,Angel,0
56.0,"$90,978", 15.48 ,35,0.0,-13.1%,22,"$1,625,101",FINTECH,seed,Yes,angel,1
97.0,"99,267",18,24, 0.0 , 32 % ,23,"2,621,990",Ecommerce,Seed,TRUE,tier-1-vc,0
115.0," USD 51,938.09 ",14, 28.0 , 0.0 ,-7.2%,n/a,"895,434", healthtech ,seed,onsite,none,0
40.0,"125,879",15.45,41.0,1.0,,," USD 2,365,352.63 ", fintech ,SEED,no, tier-1-vc ,0
 26.0 ,"138,224", 11.7 ,38, 2.0 ,-5.4%,14,"$2,372,154", healthtech ,SERIES-B,FALSE,NONE,1
114,"$161,130",13.31,24,2.0,0.16,14,"$2,514,207",,seed,yes,tier-2-vc,0
77.0,"$97,849",13.54,17, 1.0 , 37 % , 19.0 ,"$1,464,289",fintech,seed,1,NONE,0
 37.0 ," USD 154,799.47 ",14,42.0,1, 12 % ,16.0,"2,658,987",AI,series-a,onsite,Tier-2-Vc,0
75," USD 25,992.44 ", 16.86 ,37.0, 0.0 ,-0.1%,16.0," USD 470,065.49 ",Ai,SERIES-A,FALSE, angel ,1
63.0,"61,399",16,4, 0.0 , -11 % , 29.0 ,"1,265,900",Fintech, seed ,,Tier-2-Vc,0
108.0,"$45,395",13,22.0,1.0,-23.69, 19.0 ,"782,393",AI,SEED,0,TIER-1-VC,0
32," USD 78,086.64 ",9,unknown, 0.0 ,-12.52,n/a,, saas ,Pre-Seed,onsite,tier-2-vc,0
118,"53,407",13,37.0,0, 12 % ,22," USD 784,691.41 ", ai ,seed,onsite,None,1
112.0,"$66,744",12.86,39.0,0,27.6%,22,, saas , seed ,yes,Tier-2-Vc,0
 24.0 ,"205,910",13.97, 30.0 , 2.0 , -0 % ,25,"$4,662,810",SAAS, series-a ,unknown,angel,0
22,"$66,613",24.03, 34.0 , 0.0 ,38.27, 20.0 ,"921,610",Healthtech,Series-A,No, none ,0
65,"$91,820",10,27,0.0,-2.92,unknown," USD 1,824,442.18 ", healthtech ,PRE-SEED,TRUE,angel,0
8," USD 64,360.27 ",15,17,0,unknown, 18.0 ,"1,100,960",SAAS,pre-seed,yes,Tier-2-Vc,0
 37.0 ,,18,22, 2.0 ,-9.43,16.0,"1,312,467",ecommerce,Seed,Yes,Angel,0
 53.0 ,n/a, 13.49 ,26.0,1.0,27.8%, 13.0 ,"$1,139,496",Ai, seed ,0,tier-2-vc,0
116.0,"$93,581",24.69, 26.0 ,1.0, 48 % ,10,"$1,202,399",Healthtech, seed ,Yes,tier-2-vc,0
119,"138,818",11.11,,1,-21.7%,9,"1,683,288", saas , seed ,0,ANGEL,0
20.0,"$180,966",15, 20.0 , 1.0 , 4 % , 13.0 ,"$4,146,639",Healthtech,Seed,Yes,ANGEL,0
107.0,"86,707",9.01, 27.0 ,0.0, 33 % , 23.0 ,"$1,426,839",fintech,SERIES-B,remote,,0
13.0," USD 101,138.97 ", 11.24 , 22.0 ,0,-16.1%, 14.0 ,"2,073,457",ECOMMERCE,Seed,onsite,angel,0
 90.0 ,"$38,833",14,23,0,20.2%,15," USD 836,447.39 ",Fintech,Pre-Seed,no,none,0
101,"$69,680",17,n/a,0.0,32.0%,19,"1,000,368",AI,SEED,Yes,angel,0
107,"122,658",14.6,unknown,0, 11 % ,11.0," USD 2,170,322.01 ", saas , seed ,1,Tier-1-Vc,0
29.0,"$117,746", 19.3 ,,1,19.9,26," USD 1,905,130.99 ",Ai,,1,angel,1
107.0," USD 82,156.84 ", 12.53 ,21.0,1.0,41.7, 14.0 ,"934,217",Saas,pre-seed,TRUE, angel ,0
16.0," USD 119,075.93 ", 11.34 ,37,0.0, 45 % ,16.0," USD 1,816,870.15 ",FINTECH,SEED,TRUE,none,0
63," USD 95,790.78 ", 26.52 , 50.0 ,0.0, 9 % ,21.0,"1,757,763",ECOMMERCE,SERIES-A,1,NONE,0
57.0,"$141,516", 14.97 ,37.0, 0.0 , 0 % ,16," USD 1,981,774.25 ", ai ,series-b,yes, tier-1-vc ,0
 39.0 ,"$85,746",9,5,0,-6.56,16," USD 1,260,523.54 ",FINTECH,SEED,onsite, tier-2-vc ,0
5," USD 60,136.12 ",unknown, 23.0 ,2.0,27.59, 19.0 ," USD 920,475.47 ", fintech ,PRE-SEED,0,Tier-2-Vc,1
93,,8, 30.0 ,0.0, -15 % ,18,"$2,150,442",healthtech,Seed,No,TIER-2-VC,0
 42.0 ," USD 14,591.19 ",17.68, 28.0 ,1, 5 % ,13.0,, ecommerce ,SEED,1, angel ,1
80,"$90,272",11.18, 34.0 , 0.0 , 12 % , 25.0 ,"1,625,497",healthtech, series-b ,Yes,Tier-2-Vc,0
unknown,,13.64, 13.0 ,1,0.9%,15.0,"$147,345",, seed ,1,Tier-1-Vc,1
 46.0 ,,12.68, 27.0 , 0.0 , 15 % ,,,ai, series-a ,onsite,TIER-2-VC,0
,"$93,758",16.66,32,0,56.2%,17,"1,395,916",HEALTHTECH,SERIES-B,TRUE,Tier-2-Vc,0
14," USD 95,095.90 ",8.77, 38.0 , 0.0 ,7.81, 15.0 ,"1,775,393",Ai, seed ,onsite,Angel,0
89.0,"$38,587", 7.62 ,, 1.0 ,2.16,16.0," USD 729,216.00 ",Saas,Pre-Seed,1,TIER-1-VC,0
 90.0 ," USD 49,431.54 ",14,21,0.0,28.3%,17.0,"$827,685",FINTECH,SEED,onsite,None,1
47,"155,406",16.0,2,0,14.31,17," USD 3,165,774.08 ", fintech ,SEED,yes, tier-2-vc ,0
33,"56,038",15,17,0.0,35.9%,12,,ai, seed ,Yes,Angel,0
 3.0 ,"251,100", 8.95 ,19,0.0,13.0%,20.0,n/a,ai,SERIES-B,onsite,tier-2-vc,0
112.0,"73,053", 16.39 ,12.0,0,5.5%,16,"1,009,248",Saas,seed,remote,Tier-1-Vc,0
113.0," USD 91,529.80 ",9.28,,1.0,-22.1%, 15.0 ,"$1,645,501", fintech ,Seed,0,tier-2-vc,1
31.0,"177,954", 10.39 ,25,1.0,, 24.0 ,"3,202,605", ai , pre-seed ,1,None,0
 6.0 ," USD 78,595.12 ",8,2.0,2.0, -23 % , 17.0 ,"1,001,103", fintech , pre-seed ,0,tier-2-vc,1
17," USD 42,138.24 ",19.51, 29.0 , 0.0 , 17 % ,18," USD 409,678.22 ",fintech, seed ,0, tier-1-vc ,0
 10.0 ,"68,848",16.17, 13.0 ,1.0, -15 % ,26," USD 544,508.21 ",healthtech,SERIES-A,1,TIER-2-VC,0
100.0,"71,712",n/a,33, 1.0 ,32.6,14.0," USD 1,167,430.75 ", ai ,Seed,No,tier-1-vc,0
107.0," USD 34,523.38 ",19.24,,0, 11 % , 19.0 ,"593,531",Ecommerce,seed,FALSE, tier-2-vc ,0
20.0,"$63,532",, 26.0 ,0,5.6,18,"$716,183", ai ,pre-seed,TRUE, tier-1-vc ,0
90.0,"48,620", 4.45 , 22.0 , 1.0 ,-5.19,20,"981,356",ecommerce,,yes,angel,1
23,unknown,9.31,30,1,21.2%, 19.0 ,"2,019,446",Ai, seed ,1, angel ,1
 45.0 ,"74,536",10,28.0,0.0,-4.48,20,"1,594,906",ecommerce,Series-A,No,TIER-1-VC,0
n/a," USD 62,596.36 ", 8.75 ,22.0,0, -8 % ,12.0,"$1,094,318",fintech,,yes, tier-1-vc ,0
87.0,"$68,982",8,4.0,0.0,31.39, 21.0 ," USD 809,479.95 ",FINTECH,SERIES-A,No,,0
105.0,"$82,679", 11.5 ,5, 0.0 ,16.38,19.0,"1,474,419",AI,Series-A,1,Angel,1
8.0," USD 102,667.18 ",7,18,1, 6 % , 16.0 ,"1,917,868", ecommerce , seed ,No, angel ,0
25.0," USD 42,199.27 ",14.68,unknown, 0.0 ,21.55, 18.0 ,"582,751",Ai, seed ,TRUE,TIER-2-VC,0
35.0,"$41,238", 13.26 ,17.0,1.0,10.2%, 13.0 ,"421,937", saas ,series-a,0,tier-1-vc,0
,"134,265",15,,0, 17 % ,14,"2,202,111",Healthtech,Series-B,yes,TIER-2-VC,0
119.0,"$58,292",16,22,0.0,-4.7%,22.0,"699,303",Fintech,seed,1,NONE,0
93.0,"33,548",16,12,0.0,47.27,13," USD 687,185.13 ",SAAS,series-a,1, angel ,0
40,"$93,349",11.13,22,1.0, -0 % , 24.0 ," USD 1,341,541.23 ",AI,SEED,0,,0
116.0,"94,358",23.61,29.0,0,38.01,16.0," USD 2,160,652.09 ",FINTECH,series-a,yes, angel ,0
 61.0 ,"$31,511",14,31,0.0,n/a,21.0,"$236,442",HEALTHTECH,SERIES-B,no, none ,0
61.0," USD 82,968.39 ", 3.69 ,52.0,1.0,24.5%, 12.0 ," USD 1,372,229.30 ",Saas,series-b,TRUE,Angel,0
53,"109,598", 7.99 ,17.0,0.0,23.2%,19,"2,380,193",HEALTHTECH, pre-seed ,1,tier-2-vc,0
19.0,"$89,851", 4.3 ,25,2.0,30.64, 17.0 ," USD 1,117,642.13 ",Ai,Pre-Seed,, angel ,1
112," USD 103,527.22 ",n/a, 32.0 , 1.0 ,-5.13,19.0," USD 1,590,508.94 ", ecommerce ,SERIES-A,yes,None,0
4.0,"33,781", 12.39 ,, 1.0 ,29.4%, 23.0 ," USD 486,035.33 ",Healthtech,SEED,Yes, angel ,1
23,"$87,735",10.66,19,0, 43 % ,17.0,"$1,163,794",ecommerce, series-b ,Yes,tier-1-vc,0
29," USD 61,917.56 ",23.05, 4.0 ,0.0,5.3%,19," USD 1,051,266.74 ",AI,seed,0,Angel,0
35.0,"$56,076",15.74,19,0,10.6%,n/a,"$606,649",Ecommerce,series-a,No,Angel,0
 18.0 ," USD 118,043.16 ",16.63,11.0,1, 1 % , 19.0 ,,AI, series-a ,1,NONE,1
5.0,"$164,984",8.34,2.0, 0.0 ,3.8%,19.0,"$2,980,259", healthtech ,Pre-Seed,No,ANGEL,1
,"196,203",,15.0, 0.0 , 41 % ,17," USD 2,970,435.16 ", ai , pre-seed ,FALSE,Tier-2-Vc,0
116,"150,715",13,11.0,2.0,-8.08,21.0,"$1,808,454",saas,Series-A,FALSE,Tier-2-Vc,0
 17.0 ,"68,847",13.87, 34.0 , 0.0 ,-6.96,18.0,"1,385,259", ai , pre-seed ,remote,ANGEL,0
37.0," USD 88,787.05 ",4,34,0, 39 % , 22.0 ,"1,679,942",ai,series-a,onsite,Tier-1-Vc,0
 62.0 ,"$111,497",12.1,13.0,2,21.2%,13.0," USD 1,319,594.51 ",ai,SEED,1,angel,0
111.0," USD 78,170.52 ", 13.07 , 22.0 ,1, 48 % , 23.0 ,"$846,084",Fintech, seed ,no,tier-1-vc,0
 84.0 ," USD 78,583.76 ",11.92,2,1.0,1.9%, 20.0 ," USD 958,116.92 ",HEALTHTECH,Seed,1, none ,1
 92.0 ,"$115,043", 8.93 ,19.0,0,12.3%,18.0,"2,091,614",, series-b ,0,Angel,0
 70.0 ,"70,784",10.3, 32.0 ,0.0,-1.9%,15," USD 1,210,576.21 ",Fintech,SERIES-A,onsite,tier-1-vc,0
51.0,n/a,12,38.0,0.0,12.58,23," USD 938,214.82 ", ai ,Series-A,No, tier-1-vc ,0
 26.0 ,"58,223",13,16,1.0,-21.9%,11.0,"855,614",Ecommerce,series-a,remote,TIER-2-VC,0
104,"$103,637",16.02,41.0,2, 22 % , 23.0 ,"$1,274,847",Healthtech,,0, tier-2-vc ,0
97.0," USD 73,250.94 ",18,unknown, 1.0 ,15.82,30.0,"1,441,240",ecommerce,,TRUE,tier-2-vc,0
 5.0 ,"88,178",11.53, 9.0 , 0.0 , 9 % ,19.0,"1,215,643",ecommerce,Seed,,Tier-2-Vc,0
 86.0 ,"$105,719",10.72,36.0,0,2.97, 19.0 ,,healthtech, seed ,remote,Angel,1
12.0,"59,506",15, 49.0 ,0,-6.11,20.0," USD 583,179.47 ", ecommerce ,Seed,FALSE,ANGEL,1
 89.0 ," USD 110,850.36 ",16, 33.0 ,1, 23 % , 22.0 ,"1,520,951", ecommerce ,Seed,Yes,tier-2-vc,0
99,"90,072",11,25.0,0.0,-11.1%,13,"1,804,823",FINTECH,SERIES-A,Yes,tier-2-vc,0
18,"$37,081", 16.95 ,2.0, 0.0 ,19.2%,15.0," USD 487,051.79 ",ecommerce,SEED,TRUE,TIER-1-VC,0
 53.0 ,"$161,663",17.9,2,0, 47 % ,17.0,"3,113,304", fintech ,SERIES-A,remote,Angel,0
unknown,"55,525", 19.46 ,28,1.0,36.7%,20," USD 370,681.17 ",HEALTHTECH,series-b,1, none ,0
69,unknown,22,21, 1.0 , -17 % ,11.0,"$404,999",ECOMMERCE,Seed,,angel,0
111.0,"41,160", 8.67 , 11.0 ,1.0,0.34,32.0,"$630,351",Ai,pre-seed,FALSE,Tier-1-Vc,1
12," USD 41,707.04 ",13.07,27.0, 1.0 , 18 % ,24,,,Series-A,onsite, none ,0
 49.0 ,"75,259",,28, 0.0 , 9 % ,20.0,"852,218",ai,pre-seed,onsite,TIER-1-VC,1
116.0,"62,905", 12.51 ,39,1.0,-15.19,23,"1,175,317",SAAS,SERIES-A,1,None,0
,"60,763",9.75,28.0,0,16.94, 18.0 ," USD 1,229,104.87 ",SAAS,seed,remote,ANGEL,0
18,"102,830",6,43.0,1,9.82, 18.0 ," USD 1,348,521.82 ",ECOMMERCE,seed,TRUE,Tier-2-Vc,1
60.0,"88,162",13,26,2.0,44.5%,," USD 1,278,869.70 ",fintech,,remote,ANGEL,0
62.0,, 9.16 ,24.0,1,5.44,22,"1,441,522",ECOMMERCE,Seed,onsite,TIER-2-VC,1
80.0,"$91,620",13,41.0,1, 31 % ,14," USD 922,986.11 ",,Seed,no,,0
 39.0 ," USD 102,628.82 ", 9.03 ,12.0,1.0,,17,"$1,455,234", fintech ,seed,FALSE, angel ,1
114,"22,940",7.5,,1.0,-8.5, 22.0 ,"484,130",Ai,Seed,0,,0
63," USD 59,847.74 ",14, 31.0 ,1,23.0%,19,"1,082,683",FINTECH,SERIES-B,, tier-1-vc ,0
36," USD 22,045.96 ",13.75, 31.0 ,0.0, 30 % ,10.0,"$338,912",SAAS,pre-seed,No,none,0
 115.0 ," USD 74,595.31 ",16, 33.0 ,1,-7.23, 21.0 ,"1,227,264",saas,SEED,yes,Angel,0
111.0,"$72,944",23.93,52,0, 10 % ,26.0," USD 1,336,604.34 ",ai,pre-seed,no,TIER-2-VC,0
